orderDate,orderNumber,quantityOrdered,priceEach,productName,productLine,buyPrice,city,country,Sales Value,Cost of Sales,Net Profit,Total_Revenue
02-01-2004,10208,46,176.63,2001 Ferrari Enzo,Classic Cars,95.59,Lyon,France,8125,4397.14,3727.84,8124.98
02-01-2004,10208,26,128.42,1969 Corvair Monza,Classic Cars,89.14,Lyon,France,3339,2317.64,1021.28,3338.92
02-01-2004,10208,20,152.26,1969 Ford Falcon,Classic Cars,83.05,Lyon,France,3045,1661,1384.2,3045.2
02-01-2004,10208,24,117.47,1903 Ford Model A,Vintage Cars,68.3,Lyon,France,2819,1639.2,1180.08,2819.28
02-01-2004,10208,48,96.81,Collectable Wooden Train,Trains,67.56,Lyon,France,4647,3242.88,1404,4646.88
02-01-2004,10208,45,72.85,1904 Buick Runabout,Vintage Cars,52.66,Lyon,France,3278,2369.7,908.55,3278.25
02-01-2004,10208,35,122.89,18th century schooner,Ships,82.34,Lyon,France,4301,2881.9,1419.25,4301.15
02-01-2004,10208,20,80.54,1912 Ford Model T Delivery Wagon,Vintage Cars,46.91,Lyon,France,1611,938.2,672.6,1610.8
02-01-2004,10208,30,57.99,1962 City of Detroit Streetcar,Trains,37.49,Lyon,France,1740,1124.7,615,1739.7
02-01-2004,10208,38,56.67,The Schooner Bluenose,Ships,34,Lyon,France,2153,1292,861.46,2153.46
02-01-2004,10208,40,73.62,The Mayflower,Ships,43.3,Lyon,France,2945,1732,1212.8,2944.8
02-01-2004,10208,46,63.61,The USS Constitution Ship,Ships,33.97,Lyon,France,2926,1562.62,1363.44,2926.06
02-01-2004,10208,37,95.16,The Titanic,Ships,51.09,Lyon,France,3521,1890.33,1630.59,3520.92
02-01-2004,10208,33,95.34,The Queen Mary,Ships,53.63,Lyon,France,3146,1769.79,1376.43,3146.22
02-01-2004,10208,42,48.05,Pont Yacht,Ships,33.3,Lyon,France,2018,1398.6,619.5,2018.1
09-01-2004,10209,39,129.2,1972 Alfa Romeo GTA,Classic Cars,85.68,Los Angeles,USA,5039,3341.52,1697.28,5038.8
09-01-2004,10209,28,82.58,1999 Yamaha Speed Boat,Ships,51.61,Los Angeles,USA,2312,1445.08,867.16,2312.24
09-01-2004,10209,20,97.4,1941 Chevrolet Special Deluxe Cabriolet,Vintage Cars,64.58,Los Angeles,USA,1948,1291.6,656.4,1948
09-01-2004,10209,43,66.45,1900s Vintage Bi-Plane,Planes,34.25,Los Angeles,USA,2857,1472.75,1384.6,2857.35
09-01-2004,10209,36,56.55,1937 Horch 930V Limousine,Vintage Cars,26.3,Los Angeles,USA,2036,946.8,1089,2035.8
09-01-2004,10209,22,79.67,1940 Ford Delivery Sedan,Vintage Cars,48.64,Los Angeles,USA,1753,1070.08,682.66,1752.74
09-01-2004,10209,33,90.52,HMS Bounty,Ships,39.83,Los Angeles,USA,2987,1314.39,1672.77,2987.16
09-01-2004,10209,48,44.2,Boeing X-32A JSF,Planes,32.77,Los Angeles,USA,2122,1572.96,548.64,2121.6
